50000 0.362662 4.762060 -4.399398	20 11.818021297454834 16.684509754180908 11.897117614746094 11.49306869506836 11.238707542419434 12.64319133758545 15.577837944030762 17.791181564331055
52500 0.363758 3.796365 -3.432608	21 11.629410743713379 16.417362213134766 11.584083557128906 11.60325813293457 10.889702796936035 12.440598487854004 15.776082992553711 17.05864143371582
55000 0.350508 6.286336 -5.935828	22 11.700461626052856 16.49834442138672 11.967021942138672 11.389097213745117 11.348211288452148 12.097516059875488 15.229473114013672 17.767215728759766
57500 0.366730 7.319123 -6.952393	23 11.494498252868652 16.22531747817993 11.755996704101563 11.609966278076172 10.59761905670166 12.014410972595215 15.229594230651855 17.221040725708008
60000 0.390781 5.473731 -5.082949	24 11.761059045791626 16.58390998840332 11.884162902832031 11.566328048706055 10.918290138244629 12.675455093383789 15.295156478881836 17.872663497924805
62500 0.418668 5.961923 -5.543254	25 11.583768367767334 16.326805591583252 11.432193756103516 11.9595947265625 10.73798942565918 12.20529556274414 15.123988151550293 17.52962303161621
65000 0.454731 5.532335 -5.077604	26 11.51991891860962 16.228375911712646 11.511947631835938 11.550775527954102 11.083377838134766 11.933574676513672 14.827109336853027 17.629642486572266
67500 0.470191 5.059813 -4.589623	27 11.551183223724365 16.283727169036865 11.632790565490723 11.288536071777344 11.053607940673828 12.229798316955566 14.946911811828613 17.620542526245117
70000 0.517535 6.319026 -5.801491	28 11.43521785736084 16.130870819091797 11.225671768188477 11.286759376525879 10.848034858703613 12.38040542602539 15.014436721801758 17.247304916381836
72500 0.539822 5.601948 -5.062125	29 11.516293287277222 16.2531795501709 11.663589477539063 11.161863327026367 11.188912391662598 12.05080795288086 15.308422088623047 17.19793701171875
75000 0.557309 6.447536 -5.890228	30 11.595866918563843 16.354405879974365 11.527349472045898 11.730393409729004 11.301658630371094 11.824066162109375 15.315787315368652 17.393024444580078
77500 0.584469 4.591139 -4.006670	31 11.63062858581543 16.41289710998535 11.945038795471191 11.567623138427734 10.95835018157959 12.051502227783203 15.256298065185547 17.569496154785156
80000 0.609891 6.371414 -5.761523	32 11.623025894165039 16.402080535888672 11.82030200958252 11.30933952331543 11.202298164367676 12.160163879394531 15.257667541503906 17.546493530273438
82500 0.649818 4.164221 -3.514403	33 11.729190349578857 16.52689266204834 11.534311294555664 11.775702476501465 11.139655113220215 12.467092514038086 15.191461563110352 17.862323760986328
85000 0.684034 6.472243 -5.788209	34 11.439872026443481 16.134740352630615 11.56113052368164 11.394734382629395 10.803068161010742 12.000555038452148 14.909539222717285 17.359941482543945
87500 0.705119 3.921980 -3.216860	35 11.595667600631714 16.34296941757202 11.605466842651367 11.6062650680542 11.118885040283203 12.052053451538086 15.03914737701416 17.646791458129883
90000 0.742048 5.560112 -4.818064	36 11.603227615356445 16.360084056854248 11.271926879882813 11.505041122436523 10.979435920715332 12.656506538391113 15.238327980041504 17.481840133666992
92500 0.773376 4.386162 -3.612785	37 11.765964031219482 16.58469533920288 11.691130638122559 11.611655235290527 11.054409980773926 12.706660270690918 15.337918281555176 17.831472396850586
95000 0.806182 5.217679 -4.411497	38 11.334980010986328 15.981558322906494 11.629905700683594 11.066105842590332 10.774145126342773 11.869763374328613 14.677712440490723 17.285404205322266
97500 0.853251 6.841580 -5.988329	39 11.456173181533813 16.124154567718506 11.414210319519043 11.445273399353027 11.03777027130127 11.927438735961914 14.694840431213379 17.553468704223633
100000 0.883495 5.061263 -4.177768	40 11.403783082962036 16.103086471557617 11.608240127563477 11.283315658569336 10.845206260681152 11.87837028503418 15.245603561401367 16.960569381713867
102500 0.925662 3.966556 -3.040895	41 11.618924617767334 16.37076997756958 11.216876983642578 11.560783386230469 11.09676456451416 12.601273536682129 15.063652992248535 17.677886962890625
105000 0.958208 5.967589 -5.009381	42 11.679115533828735 16.487727165222168 11.700904846191406 11.40996265411377 10.919357299804688 12.686237335205078 15.402286529541016 17.57316780090332
107500 0.974036 7.012392 -6.038356	43 11.640193462371826 16.4396653175354 11.668444633483887 11.491044044494629 11.361115455627441 12.040169715881348 15.565642356872559 17.313688278198242
110000 0.962548 4.015366 -3.052818	44 11.726697206497192 16.537217140197754 11.740059852600098 11.370616912841797 11.65474796295166 12.141364097595215 15.303613662719727 17.77082061767578
112500 0.985166 3.223820 -2.238655	45 11.688787937164307 16.515614986419678 11.681249618530273 11.355855941772461 11.478039741516113 12.240006446838379 15.780287742614746 17.25094223022461
115000 1.017084 3.694958 -2.677874	46 11.589104413986206 16.34713840484619 11.74085521697998 11.739084243774414 10.941849708557129 11.9346284866333 15.483261108398438 17.211015701293945
117500 1.045757 3.783637 -2.737880	47 11.723578929901123 16.563296794891357 11.888797760009766 11.565045356750488 11.056562423706055 12.383910179138184 15.684950828552246 17.44164276123047
120000 1.073712 5.938139 -4.864428	48 11.67908000946045 16.505760192871094 11.776074409484863 11.520224571228027 11.347725868225098 12.072295188903809 15.842765808105469 17.16875457763672
122500 1.087870 7.101573 -6.013703	49 11.728331089019775 16.544591426849365 11.644316673278809 11.522592544555664 11.290255546569824 12.456159591674805 15.38166332244873 17.70751953125
125000 1.109600 5.336782 -4.227183	50 11.575719118118286 16.342784881591797 11.50576114654541 11.742919921875 10.870514869689941 12.183680534362793 15.528230667114258 17.157339096069336
127500 1.138089 5.878083 -4.739994	51 11.794644832611084 16.649036407470703 11.70669937133789 12.007967948913574 11.007670402526855 12.456241607666016 15.708345413208008 17.5897274017334
130000 1.157973 11.449022 -10.291049	52 11.552306175231934 16.333795070648193 12.005295753479004 11.439608573913574 10.921430587768555 11.842889785766602 15.817334175109863 16.850255966186523
132500 1.175326 7.427095 -6.251769	53 11.789799451828003 16.662941932678223 11.732317924499512 11.907785415649414 11.129546165466309 12.389548301696777 16.177112579345703 17.148771286010742
135000 1.219625 6.249639 -5.030014	54 11.635452270507813 16.44422674179077 11.907549858093262 11.765034675598145 10.857665061950684 12.01155948638916 15.860577583312988 17.027875900268555
137500 1.254122 3.887785 -2.633663	55 11.335358619689941 16.03264570236206 11.51949405670166 11.170860290527344 10.731742858886719 11.919337272644043 15.651629447937012 16.41366195678711
140000 1.272087 3.820594 -2.548507	56 11.711362361907959 16.569010734558105 11.895450592041016 11.349703788757324 11.06149959564209 12.538795471191406 16.172603607177734 16.965417861938477
142500 1.288719 8.052168 -6.763449	57 11.653669357299805 16.469995498657227 11.479008674621582 11.52747631072998 11.41147232055664 12.196720123291016 16.199321746826172 16.74066925048828
145000 1.313297 9.018656 -7.705359	58 11.66895341873169 16.481430530548096 11.674263000488281 11.507091522216797 11.294835090637207 12.199624061584473 15.76990032196045 17.192960739135742
147500 1.337622 4.268385 -2.930764	59 11.647903442382813 16.452663898468018 11.380826950073242 11.371726989746094 11.480284690856934 12.35877513885498 15.810589790344238 17.094738006591797
150000 1.381756 4.506489 -3.124733	60 11.708912372589111 16.54188585281372 11.661432266235352 11.568869590759277 11.100737571716309 12.504610061645508 15.921711921691895 17.162059783935547
152500 1.448816 5.851992 -4.403176	61 11.518633604049683 16.26053285598755 11.56983470916748 11.681663513183594 10.936553955078125 11.886482238769531 15.362139701843262 17.158926010131836
155000 1.515547 6.868498 -5.352951	62 11.810631513595581 16.667070865631104 11.994061470031738 11.464652061462402 11.255951881408691 12.527860641479492 15.451003074645996 17.88313865661621
157500 1.555922 5.914050 -4.358128	63 11.786038637161255 16.620516300201416 11.743638038635254 11.698881149291992 11.248794555664063 12.452840805053711 15.982096672058105 17.258935928344727
160000 1.598872 6.329651 -4.730779	64 11.665995359420776 16.49272918701172 12.129729270935059 11.603031158447266 10.754922866821289 12.176298141479492 15.804393768310547 17.18106460571289
162500 1.643901 6.684758 -5.040857	65 12.045105934143066 17.00880527496338 12.161371231079102 12.189440727233887 11.35042953491211 12.479182243347168 16.098134994506836 17.919475555419922
165000 1.696505 10.147938 -8.451433	66 11.929662942886353 16.84889793395996 11.838136672973633 12.081099510192871 11.406167030334473 12.393248558044434 16.044912338256836 17.652883529663086
167500 1.763926 5.460096 -3.696169	67 11.725538492202759 16.557600021362305 11.718783378601074 12.152477264404297 10.87846851348877 12.152424812316895 15.85171127319336 17.26348876953125
170000 1.838650 7.860218 -6.021568	68 11.879915475845337 16.7835693359375 11.884385108947754 11.841682434082031 11.276396751403809 12.517197608947754 16.237966537475586 17.329172134399414
172500 1.908775 7.473582 -5.564807	69 11.840744018554688 16.720067024230957 11.617300987243652 12.308454513549805 11.24990177154541 12.187318801879883 16.094507217407227 17.345626831054688
175000 1.959492 7.316379 -5.356886	70 11.934016227722168 16.87935733795166 12.54670238494873 11.581231117248535 11.353025436401367 12.255105972290039 16.733243942260742 17.025470733642578
177500 2.017354 3.630230 -1.612876	71 11.64808988571167 16.462875843048096 11.961804389953613 11.539453506469727 11.104093551635742 11.987008094787598 15.759356498718262 17.16639518737793
180000 2.079227 6.880083 -4.800856	72 11.591767072677612 16.384124755859375 11.566987037658691 11.678186416625977 11.111617088317871 12.01027774810791 16.1082763671875 16.65997314453125
182500 2.152447 7.354126 -5.201678	73 11.780689477920532 16.63454246520996 11.758715629577637 12.216888427734375 11.030250549316406 12.116903305053711 15.993886947631836 17.275197982788086
185000 2.195641 3.747749 -1.552108	74 11.581608295440674 16.342073440551758 11.829415321350098 11.643597602844238 10.964664459228516 11.888755798339844 15.227783203125 17.456363677978516
187500 2.239418 6.946430 -4.707012	75 11.700049638748169 16.507072925567627 11.532027244567871 12.088778495788574 11.321762084960938 11.857630729675293 15.681963920593262 17.332181930541992
190000 2.302722 8.396506 -6.093784	76 11.77777624130249 16.646655082702637 11.638120651245117 11.95787239074707 11.633512496948242 11.881599426269531 16.154197692871094 17.13911247253418
192500 2.381499 5.867124 -3.485625	77 11.802260637283325 16.656678199768066 11.916715621948242 11.629304885864258 11.554555892944336 12.108466148376465 15.602071762084961 17.711284637451172
195000 2.463882 6.003654 -3.539772	78 11.57918906211853 16.352128505706787 11.736356735229492 11.328436851501465 11.282554626464844 11.96940803527832 15.573296546936035 17.13096046447754
197500 2.569579 5.060100 -2.490521	79 11.72365403175354 16.571470737457275 11.939553260803223 11.393641471862793 11.12218952178955 12.439231872558594 15.775252342224121 17.36768913269043
